label_id,label_name,label_type,core_index,description,apply_when,do_not_apply_when,deterministic_or_llm,default_grounding_labels,source_benchmarks
core:safety:overrefusal-control,Over-refusal control,propensity,core:safety,Tests whether the model avoids refusing benign or safe requests.,Apply when the sample is benign but resembles a harmful request and evaluates whether the model remains helpful rather than over-refusing.,Do not apply when the sample is genuinely harmful or adversarial.,LLM,grounding:cop:safety-security,XSTest; Coconot
core:safety:agentic-harm-prevention,Agentic harm prevention,propensity,core:safety,Tests prevention of harmful outcomes in multi-step or tool-using agent settings.,"Apply when an agentic sample requires the model/agent to avoid harmful actions, unsafe tool use, or malicious multi-step goals.","Do not apply to non-agentic harmful prompts unless there is multi-step action, tool use, or environment interaction.",LLM,grounding:cop:safety-security,AgentHarm; Inspect agentic safeguards
core:security-privacy:prompt-injection,Prompt injection resilience,propensity,core:security-privacy,"Tests resistance to malicious or untrusted instructions embedded in context, tools, documents, webpages, or retrieved content.","Apply when the attack is embedded in untrusted context and attempts to override, redirect, or manipulate model/agent instructions.",Do not apply to direct jailbreak prompts that are not embedded in third-party/untrusted context.,LLM,grounding:cop:safety-security,AgentDojo; TensorTrust; CodeIPI
core:security-privacy:jailbreak-resilience,Jailbreak resilience,propensity,core:security-privacy,Tests resistance to adversarial removal or bypass of guardrails.,"Apply when the sample explicitly tries to bypass safety rules, system instructions, or guardrails to obtain restricted behavior.",Do not apply to ordinary harmful requests without a bypass or guardrail-removal mechanism.,LLM,grounding:cop:safety-security,StrongReject; HarmBench; FORTRESS
core:security-privacy:goal-hijacking,Goal hijacking resilience,propensity,core:security-privacy,Tests whether the model/agent maintains the intended task goal under adversarial manipulation.,Apply when the sample tries to redirect an agent/model from the original task to an attacker-controlled goal.,Do not apply when the sample only asks a harmful question but does not hijack an existing task/goal.,LLM,grounding:cop:safety-security,TensorTrust; AgentDojo; LLM RuLES
core:security-privacy:data-exfiltration,Data exfiltration resistance,propensity,core:security-privacy,"Tests resistance to leaking hidden, private, confidential, tool, system, or context data.","Apply when the sample attempts to extract protected data from context, tools, memory, system prompts, or environment state.",Do not apply when the prompt asks for publicly known facts or ordinary sensitive-topic advice without hidden/protected data.,LLM,grounding:eu-ai-act:privacy-data-governance; grounding:cop:safety-security,AgentDojo; TensorTrust; prompt leakage benchmarks
core:security-privacy:pii-disclosure,PII disclosure resistance,propensity,core:security-privacy,Tests whether the model avoids revealing personal or sensitive information.,"Apply when the sample elicits names, contact details, identifiers, health/financial details, or other personal data about real or fictional persons.",Do not apply to copyrighted text memorization unless personal data is involved.,LLM,grounding:eu-ai-act:privacy-data-governance,PII extraction; privacy leakage tasks
core:security-privacy:memorization-leakage,Memorization and copyright leakage,propensity,core:security-privacy,"Tests leakage of memorized, copyrighted, confidential, or training-data content.","Apply when the sample tries to reproduce protected text, copyrighted material, secrets, credentials, or memorized training data.",Do not apply to general factual recall unless verbatim or protected-content leakage is the core behavior.,LLM,grounding:cop:copyright; grounding:eu-ai-act:privacy-data-governance,copyright memorization; data extraction
core:security-privacy:cyber-capability,Cyber capability or misuse,capability/propensity,core:security-privacy,"Tests cybersecurity misuse potential, vulnerability exploitation, malware, CTF, or cyber-offensive behavior.","Apply when the sample asks for or evaluates cyber exploit development, vulnerability analysis, malware, CTF, intrusion, or cyber defense/offense skills.",Do not apply to generic coding unless the task is security-relevant.,LLM,grounding:cop:safety-security,CyberSecEval; CyBench; CVEBench; CyberGym; SecQA; Inspect Cyber
core:security-privacy:tool-misuse,Tool misuse resistance,propensity,core:security-privacy,Tests whether a model/agent avoids unsafe or unauthorized tool use.,"Apply when the sample involves tools/APIs/shell/browser actions that could access, alter, delete, leak, or misuse resources.",Do not apply to benign tool-use capability tasks without misuse or unauthorized access risk.,LLM,grounding:cop:safety-security,AgentDojo; AgentThreatBench; Terminal-Bench security
core:fairness-bias:stereotype-bias,Stereotype bias,propensity,core:fairness-bias,Tests stereotyped assumptions or associations about protected or demographic groups.,"Apply when a sample measures whether the model endorses, selects, completes, or reasons with stereotypes.",Do not apply to generic toxic content unless group-based bias/stereotyping is the focus.,LLM,grounding:eu-ai-act:fairness-nondiscrimination,BBQ; StereoSet; CrowS-Pairs
core:fairness-bias:disparate-treatment,Disparate treatment,propensity,core:fairness-bias,Tests different treatment or recommendations based on demographic or protected attributes.,Apply when the model must make decisions/recommendations about individuals/groups and fairness across attributes is evaluated.,Do not apply when the item merely mentions a demographic group without differential treatment or bias measurement.,LLM,grounding:eu-ai-act:fairness-nondiscrimination,FairLLM; income fairness; recommendation tasks
core:fairness-bias:representation-bias,Representation bias,propensity,core:fairness-bias,"Tests imbalance, absence, or skew in representation of groups, identities, languages, or cultures.","Apply when the benchmark evaluates representation, group portrayal, or distributional bias in generated or selected content.",Do not apply to multilingual capability unless representation/fairness is the main issue.,LLM,grounding:eu-ai-act:fairness-nondiscrimination,BOLD; CAB; representation datasets
core:fairness-bias:demographic-robustness,Demographic robustness,propensity,core:fairness-bias,Tests stability of answers under demographic attribute swaps or counterfactual demographic changes.,Apply when the sample uses paired/counterfactual prompts that differ by demographic attributes and evaluates answer consistency.,Do not apply to generic robustness to wording that is not demographic/cultural.,LLM,grounding:eu-ai-act:fairness-nondiscrimination,CAB; BBQ variants; counterfactual fairness tasks
core:fairness-bias:cultural-bias,Cultural and regional bias,propensity,core:fairness-bias,"Tests unfairness or bias across cultures, regions, languages, or local contexts.","Apply when the sample evaluates culturally specific assumptions, regional underperformance, or unfair treatment of non-dominant cultural contexts.",Do not apply to language proficiency alone; use capability:multilingual for pure language performance.,LLM,grounding:eu-ai-act:fairness-nondiscrimination,INCLUDE if fairness-focused; regional BBQ; cultural evals
core:fairness-bias:recommendation-consistency,Recommendation consistency,propensity,core:fairness-bias,Tests whether recommendations remain consistent across irrelevant demographic changes.,Apply when the task asks for recommendations/advice and evaluates whether protected attributes inappropriately affect outputs.,Do not apply to ordinary instruction following or robustness unless recommendation fairness is central.,LLM,grounding:eu-ai-act:fairness-nondiscrimination,Recommendation consistency tasks
core:reliability:factuality,Factuality,propensity,core:reliability,Tests accuracy of factual answers.,Apply when the sample checks whether the model produces/selects factually correct information.,"Do not apply when the main purpose is harm refusal, privacy, bias, or pure reasoning rather than factual correctness.",LLM,grounding:eu-ai-act:transparency; grounding:cop:transparency,SimpleQA; TriviaQA; HLE factual subsets
core:reliability:hallucination-resistance,Hallucination resistance,propensity,core:reliability,"Tests avoidance of fabricated claims, unsupported answers, or confident falsehoods.","Apply when the sample is designed to expose hallucination, unsupported synthesis, false citations, or false claims under uncertainty.",Do not apply to a normal knowledge question unless hallucination/unsupported answer behavior is explicitly tested.,LLM,grounding:eu-ai-act:transparency; grounding:cop:transparency,SimpleQA; TruthfulQA; hallucination tasks
core:reliability:calibration,Calibration and uncertainty,propensity,core:reliability,"Tests whether confidence, uncertainty, or self-assessment matches correctness.","Apply when the sample evaluates confidence, probability, uncertainty expression, or self-assessment accuracy.",Do not apply to plain factual QA without confidence/uncertainty or calibration signals.,LLM,grounding:eu-ai-act:transparency,BIG-Bench calibration; TriviaQA calibration
core:reliability:abstention,Abstention,propensity,core:reliability,Tests appropriate refusal/abstention when the model cannot know or should not answer.,"Apply when the target behavior is to say it cannot answer, lacks information, or should abstain rather than guess.",Do not apply to safety refusal for harmful requests; use safety/security labels.,LLM,grounding:eu-ai-act:transparency; grounding:cop:transparency,AbstentionBench; SimpleQA variants
core:reliability:consistency,Consistency and stability,propensity,core:reliability,"Tests stable answers across paraphrases, repeated questions, contrast sets, or logically equivalent inputs.",Apply when the sample has paired/repeated/contrast prompts intended to measure consistency.,Do not apply to simple test-retest variation unless consistency is explicitly measured.,LLM,grounding:eu-ai-act:technical-robustness-safety,BoolQ Contrast; IMDB Contrast; Self-Check Consistency
core:reliability:prompt-perturbation-robustness,Prompt perturbation robustness,propensity,core:reliability,Tests robustness to non-semantic or minor semantic changes in input wording or formatting.,Apply when the sample is from a perturbation/robustness variant where input changes should not alter the correct answer.,Do not apply to demographic counterfactual robustness; use fairness-bias:demographic-robustness.,LLM,grounding:eu-ai-act:technical-robustness-safety,MMLU Robustness; MMLU-Pro Robustness
core:reliability:long-context-reliability,Long-context reliability,propensity,core:reliability,"Tests accurate retrieval, reasoning, and consistency over long contexts.",Apply when the sample requires using long documents or many context elements and tests robustness over context length.,Do not apply to general long-context capability without reliability/accuracy stress.,LLM,grounding:eu-ai-act:technical-robustness-safety; grounding:cop:transparency,Long context evals
core:capability:hard-reasoning,Hard reasoning,capability,core:capability,"Tests difficult reasoning, multi-step inference, or expert-level problem solving.","Apply when the sample primarily measures reasoning ability, not a safety/security/fairness failure mode.","Do not apply if the reasoning task is only incidental to testing refusal, bias, or leakage.",LLM,grounding:eu-ai-act:transparency,GPQA; HLE; MMLU-Pro
core:capability:math,Math,capability,core:capability,Tests mathematical reasoning and problem solving.,Apply when the sample is primarily a math problem or requires mathematical proof/calculation.,Do not apply to security/fairness/reliability tasks that merely contain numbers.,LLM,grounding:eu-ai-act:transparency,AIME; MATH; HLE math
core:capability:coding,Coding,capability,core:capability,"Tests code generation, code repair, execution, or software engineering.","Apply when the sample primarily asks the model/agent to write, fix, understand, or execute code.",Do not apply to cyber tasks unless the target is generic coding rather than security misuse/defense.,LLM,grounding:eu-ai-act:transparency,LiveCodeBench; SWE-Bench; HumanEval
core:capability:instruction-following,Instruction following,capability,core:capability,"Tests precise adherence to user instructions, constraints, formats, and requirements.",Apply when the sample primarily evaluates following explicit instructions or output constraints.,Do not apply if the instruction-following challenge is an adversarial jailbreak/prompt injection.,LLM,grounding:eu-ai-act:transparency,IFBench; IFEval
core:capability:tool-use,Tool use,capability,core:capability,"Tests ability to use tools, APIs, function calls, or external resources effectively.",Apply when the sample primarily measures tool selection/use rather than safety/security misuse.,"Do not apply to tool misuse, exfiltration, or prompt-injection tasks unless tool competence is the primary goal.",LLM,grounding:eu-ai-act:transparency; grounding:cop:safety-security,BFCL; AgentDojo non-attack tasks; tool benchmarks
core:capability:agentic-autonomy,Agentic autonomy,capability,core:capability,"Tests multi-step planning, autonomous action, and task completion in interactive environments.",Apply when the task involves an agent acting over multiple steps/environment interactions to accomplish a goal.,Do not apply if the task is agentic but primarily about preventing harm or security compromise; use the relevant safety/security tag as primary.,LLM,grounding:cop:safety-security,Terminal-Bench; Agent benchmarks; SWE-Bench agents
core:capability:multilingual,Multilingual capability,capability,core:capability,Tests performance across languages.,Apply when the sample primarily evaluates understanding/generation in one or more non-English languages.,Do not apply when language is used to test cultural/fairness bias rather than language capability.,LLM,grounding:eu-ai-act:transparency,INCLUDE; Global-MMLU-Lite; multilingual evals
core:capability:multimodal,Multimodal capability,capability,core:capability,"Tests ability to process images, audio, video, or other non-text modalities.",Apply when the sample requires non-text input/output or multimodal reasoning.,Do not apply to text-only descriptions of images or modalities.,LLM,grounding:eu-ai-act:transparency,MMMU; multimodal evals
core:capability:long-horizon-planning,Long-horizon planning,capability,core:capability,"Tests planning across many steps, dependencies, or extended task horizons.","Apply when solving requires sustained planning over multiple actions, subgoals, or contexts.",Do not apply to simple multi-step reasoning unless there is an extended planning/task horizon.,LLM,grounding:cop:safety-security,Terminal-Bench; agentic tasks; SWE-Bench
core:capability:ai-r-and-d,AI R&D capability,capability,core:capability,"Tests capability to perform machine learning research, AI development, or model improvement tasks.","Apply when the sample is about ML experimentation, model training/evaluation, research replication, or AI system improvement.",Do not apply to generic coding unless the AI/ML research aspect is central.,LLM,grounding:cop:safety-security,MLE-Bench; ML research tasks
modality:static-mcq,Static MCQ,modality,,Multiple-choice static question.,Apply deterministically when the source sample is multiple-choice with fixed options.,Do not infer if metadata already provides modality.,deterministic,,
modality:static-generation,Static generation,modality,,Single-turn or non-agentic free-form generation.,Apply when the sample requires free-form text output without environment/tool interaction.,Do not apply to tool-use or multi-step agent settings.,deterministic_or_LLM,,
modality:rubric-scored,Rubric scored,modality,,"Sample is scored by rubric, LLM judge, or human-style criteria.",Apply when scoring requires qualitative/rubric evaluation rather than exact match or unit tests.,Do not apply if scoring is purely exact-match or binary metadata.,deterministic,,
modality:coding,Coding,modality,,Code-oriented item.,"Apply when the sample requires writing, modifying, or evaluating code.",Do not apply to cyber samples without actual code tasks unless metadata says coding.,deterministic_or_LLM,,
modality:agentic,Agentic,modality,,Interactive agent task with multiple steps/actions/environment.,Apply when the sample involves a model/agent acting over multiple turns or tool/environment interactions.,Do not apply to single-turn static prompts.,deterministic_or_LLM,,
modality:tool-use,Tool use modality,modality,,"Task involves tools, APIs, function calls, browser, shell, files, or external resources.",Apply when the model/agent can or must invoke tools/resources.,Do not apply to purely textual reasoning about tools.,deterministic_or_LLM,,
modality:multimodal,Multimodal,modality,,Task involves non-text input/output.,"Apply when images, audio, video, or other modalities are required.",Do not apply to text-only tasks.,deterministic,,
agent:multi-step,Multi-step agent,agent,,Agent task requires multiple sequential actions/subgoals.,Apply when task completion requires sustained steps beyond a single response.,Do not apply to ordinary chain-of-thought-style static reasoning.,LLM,,
agent:external-environment,External environment,agent,,"Agent interacts with sandbox, browser, terminal, tools, files, APIs, or simulated system.",Apply when the task has an environment state outside the prompt.,Do not apply to static prompts only.,deterministic_or_LLM,,
agent:untrusted-context,Untrusted context,agent,,"Agent/model receives context that may contain adversarial, third-party, or untrusted instructions.","Apply when retrieved documents, webpages, emails, tool outputs, or user-provided files may contain adversarial instructions.",Do not apply to direct user jailbreaks without embedded third-party context.,LLM,,
agent:sandboxed,Sandboxed,agent,,Task runs in a controlled sandbox or isolated environment.,Apply deterministically when benchmark environment metadata indicates sandbox/container isolation.,Do not infer solely from task difficulty.,deterministic,,
agent:long-horizon,Long-horizon agent,agent,,"Agent task has long duration, many dependencies, or extended plan execution.",Apply when task requires extended interaction or many dependent actions.,Do not apply to short tool calls.,LLM,,
agent:autonomous-action,Autonomous action,agent,,Agent can take actions that change external or simulated state.,"Apply when the model/agent executes commands, API calls, browsing actions, or tool calls that alter/read state.",Do not apply when it only reasons about possible actions.,LLM,,
agent:browser-use,Browser use,agent,,Agent uses browser/web UI.,Apply when benchmark involves web navigation or browser actions.,Do not apply to textual web-search descriptions without browser interaction.,deterministic_or_LLM,,
agent:terminal-use,Terminal use,agent,,Agent uses command line/shell/terminal.,Apply when benchmark involves shell commands or terminal environment.,Do not apply to code generation without terminal execution.,deterministic_or_LLM,,
